#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2011 03 01 00 00 00 1 5263.944
2011 03 01 00 15 00 1 5263.947
2011 03 01 00 30 00 1 5263.952
2011 03 01 00 45 00 1 5263.960
2011 03 01 01 00 00 1 5263.964
2011 03 01 01 15 00 1 5263.966
2011 03 01 01 30 00 1 5263.964
2011 03 01 01 45 00 1 5263.963
2011 03 01 02 00 00 1 5263.958
2011 03 01 02 15 00 1 5263.951
2011 03 01 02 30 00 1 5263.941
2011 03 01 02 45 00 1 5263.928
2011 03 01 03 00 00 1 5263.920
2011 03 01 03 15 00 1 5263.901
2011 03 01 03 30 00 1 5263.883
2011 03 01 03 45 00 1 5263.866
2011 03 01 04 00 00 1 5263.844
2011 03 01 04 15 00 1 5263.822
2011 03 01 04 30 00 1 5263.798
2011 03 01 04 45 00 1 5263.774
2011 03 01 05 00 00 1 5263.742
2011 03 01 05 15 00 1 5263.711
2011 03 01 05 30 00 1 5263.678
2011 03 01 05 45 00 1 5263.646
2011 03 01 06 00 00 1 5263.613
2011 03 01 06 15 00 1 5263.577
2011 03 01 06 30 00 1 5263.542
2011 03 01 06 45 00 1 5263.504
2011 03 01 07 00 00 1 5263.465
2011 03 01 07 15 00 1 5263.432
2011 03 01 07 30 00 1 5263.397
2011 03 01 07 45 00 1 5263.366
2011 03 01 08 00 00 1 5263.336
2011 03 01 08 15 00 1 5263.310
2011 03 01 08 30 00 1 5263.282
2011 03 01 08 45 00 1 5263.264
2011 03 01 09 00 00 1 5263.241
2011 03 01 09 15 00 1 5263.226
2011 03 01 09 30 00 1 5263.211
2011 03 01 09 45 00 1 5263.202
2011 03 01 10 00 00 1 5263.196
2011 03 01 10 15 00 1 5263.196
2011 03 01 10 30 00 1 5263.195
2011 03 01 10 45 00 1 5263.201
2011 03 01 11 00 00 1 5263.213
2011 03 01 11 15 00 1 5263.221
2011 03 01 11 30 00 1 5263.239
2011 03 01 11 45 00 1 5263.257
2011 03 01 12 00 00 1 5263.280
2011 03 01 12 15 00 1 5263.300
2011 03 01 12 30 00 1 5263.326
2011 03 01 12 45 00 1 5263.354
2011 03 01 13 00 00 1 5263.382
2011 03 01 13 15 00 1 5263.411
2011 03 01 13 30 00 1 5263.443
2011 03 01 13 45 00 1 5263.474
2011 03 01 14 00 00 1 5263.508
2011 03 01 14 15 00 1 5263.543
2011 03 01 14 30 00 1 5263.577
2011 03 01 14 45 00 1 5263.609
2011 03 01 15 00 00 1 5263.639
2011 03 01 15 15 00 1 5263.667
2011 03 01 15 30 00 1 5263.696
2011 03 01 15 45 00 1 5263.723
2011 03 01 16 00 00 1 5263.746
2011 03 01 16 15 00 1 5263.764
2011 03 01 16 30 00 1 5263.783
2011 03 01 16 45 00 1 5263.797
2011 03 01 17 00 00 1 5263.810
2011 03 01 17 15 00 1 5263.819
2011 03 01 17 30 00 1 5263.831
2011 03 01 17 45 00 1 5263.837
2011 03 01 18 00 00 1 5263.840
2011 03 01 18 15 00 1 5263.841
2011 03 01 18 30 00 1 5263.840
2011 03 01 18 45 00 1 5263.840
2011 03 01 19 00 00 1 5263.832
2011 03 01 19 15 00 1 5263.827
2011 03 01 19 30 00 1 5263.821
2011 03 01 19 45 00 1 5263.812
2011 03 01 20 00 00 1 5263.804
2011 03 01 20 15 00 1 5263.794
2011 03 01 20 30 00 1 5263.787
2011 03 01 20 45 00 1 5263.781
2011 03 01 21 00 00 1 5263.775
2011 03 01 21 15 00 1 5263.771
2011 03 01 21 30 00 1 5263.766
2011 03 01 21 45 00 1 5263.763
2011 03 01 22 00 00 1 5263.758
2011 03 01 22 15 00 1 5263.757
2011 03 01 22 30 00 1 5263.759
2011 03 01 22 45 00 1 5263.760
2011 03 01 23 00 00 1 5263.766
2011 03 01 23 15 00 1 5263.771
2011 03 01 23 30 00 1 5263.777
2011 03 01 23 45 00 1 5263.784
2011 03 02 00 00 00 1 5263.793
2011 03 02 00 15 00 1 5263.805
2011 03 02 00 30 00 1 5263.816
2011 03 02 00 45 00 1 5263.829
2011 03 02 01 00 00 1 5263.842
2011 03 02 01 15 00 1 5263.856
2011 03 02 01 30 00 1 5263.869
2011 03 02 01 45 00 1 5263.880
2011 03 02 02 00 00 1 5263.890
2011 03 02 02 15 00 1 5263.895
2011 03 02 02 30 00 1 5263.900
2011 03 02 02 45 00 1 5263.904
2011 03 02 03 00 00 1 5263.905
2011 03 02 03 15 00 1 5263.902
2011 03 02 03 30 00 1 5263.899
2011 03 02 03 45 00 1 5263.892
2011 03 02 04 00 00 1 5263.884
2011 03 02 04 15 00 1 5263.876
2011 03 02 04 30 00 1 5263.862
2011 03 02 04 45 00 1 5263.847
2011 03 02 05 00 00 1 5263.828
2011 03 02 05 15 00 1 5263.804
2011 03 02 05 30 00 1 5263.779
2011 03 02 05 45 00 1 5263.754
2011 03 02 06 00 00 1 5263.723
2011 03 02 06 15 00 1 5263.693
2011 03 02 06 30 00 1 5263.657
2011 03 02 06 45 00 1 5263.620
2011 03 02 07 00 00 1 5263.580
2011 03 02 07 15 00 1 5263.539
2011 03 02 07 30 00 1 5263.498
2011 03 02 07 45 00 1 5263.459
2011 03 02 08 00 00 1 5263.419
2011 03 02 08 15 00 1 5263.382
2011 03 02 08 30 00 1 5263.346
2011 03 02 08 45 00 1 5263.312
