#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2011 03 11 00 00 00 1 5662.666
2011 03 11 00 15 00 1 5662.622
2011 03 11 00 30 00 1 5662.579
2011 03 11 00 45 00 1 5662.537
2011 03 11 01 00 00 1 5662.497
2011 03 11 01 15 00 1 5662.455
2011 03 11 01 30 00 1 5662.417
2011 03 11 01 45 00 1 5662.378
2011 03 11 02 00 00 1 5662.345
2011 03 11 02 15 00 1 5662.317
2011 03 11 02 30 00 1 5662.286
2011 03 11 02 45 00 1 5662.261
2011 03 11 03 00 00 1 5662.241
2011 03 11 03 15 00 1 5662.223
2011 03 11 03 30 00 1 5662.208
2011 03 11 03 45 00 1 5662.199
2011 03 11 04 00 00 1 5662.195
2011 03 11 04 00 00 2 5662.195
2011 03 11 04 01 00 2 5662.194
2011 03 11 04 02 00 2 5662.196
2011 03 11 04 03 00 2 5662.196
2011 03 11 04 04 00 2 5662.196
2011 03 11 04 05 00 2 5662.196
2011 03 11 04 06 00 2 5662.196
2011 03 11 04 07 00 2 5662.195
2011 03 11 04 08 00 2 5662.196
2011 03 11 04 09 00 2 5662.197
2011 03 11 04 10 00 2 5662.197
2011 03 11 04 11 00 2 5662.198
2011 03 11 04 12 00 2 5662.198
2011 03 11 04 13 00 2 5662.198
2011 03 11 04 14 00 2 5662.197
2011 03 11 04 15 00 1 5662.197
2011 03 11 04 15 00 2 5662.197
2011 03 11 04 16 00 2 5662.197
2011 03 11 04 17 00 2 5662.197
2011 03 11 04 18 00 2 5662.197
2011 03 11 04 19 00 2 5662.197
2011 03 11 04 20 00 2 5662.198
2011 03 11 04 21 00 2 5662.198
2011 03 11 04 22 00 2 5662.199
2011 03 11 04 23 00 2 5662.200
2011 03 11 04 24 00 2 5662.199
2011 03 11 04 25 00 2 5662.200
2011 03 11 04 26 00 2 5662.201
2011 03 11 04 27 00 2 5662.201
2011 03 11 04 28 00 2 5662.202
2011 03 11 04 29 00 2 5662.202
2011 03 11 04 30 00 1 5662.202
2011 03 11 04 30 00 2 5662.202
2011 03 11 04 31 00 2 5662.203
2011 03 11 04 32 00 2 5662.205
2011 03 11 04 33 00 2 5662.204
2011 03 11 04 34 00 2 5662.205
2011 03 11 04 35 00 2 5662.206
2011 03 11 04 36 00 2 5662.206
2011 03 11 04 37 00 2 5662.207
2011 03 11 04 38 00 2 5662.208
2011 03 11 04 39 00 2 5662.208
2011 03 11 04 40 00 2 5662.210
2011 03 11 04 41 00 2 5662.210
2011 03 11 04 42 00 2 5662.212
2011 03 11 04 43 00 2 5662.213
2011 03 11 04 44 00 2 5662.213
2011 03 11 04 45 00 1 5662.214
2011 03 11 04 45 00 2 5662.215
2011 03 11 04 46 00 2 5662.216
2011 03 11 04 47 00 2 5662.217
2011 03 11 04 48 00 2 5662.218
2011 03 11 04 49 00 2 5662.220
2011 03 11 04 50 00 2 5662.221
2011 03 11 04 51 00 2 5662.221
2011 03 11 04 52 00 2 5662.223
2011 03 11 04 53 00 2 5662.223
2011 03 11 04 54 00 2 5662.224
2011 03 11 04 55 00 2 5662.226
2011 03 11 04 56 00 2 5662.228
2011 03 11 04 57 00 2 5662.230
2011 03 11 04 58 00 2 5662.230
2011 03 11 04 59 00 2 5662.232
2011 03 11 05 00 00 1 5662.233
2011 03 11 05 00 00 2 5662.233
2011 03 11 05 01 00 2 5662.233
2011 03 11 05 02 00 2 5662.236
