#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2011 03 15 00 00 00 1 5825.095
2011 03 14 23 45 00 1 5825.106
2011 03 14 23 30 00 1 5825.109
2011 03 14 23 15 00 1 5825.113
2011 03 14 23 00 00 1 5825.118
2011 03 14 22 45 00 1 5825.127
2011 03 14 22 30 00 1 5825.132
2011 03 14 22 15 00 1 5825.141
2011 03 14 22 00 00 1 5825.135
2011 03 14 21 45 00 1 5825.137
2011 03 14 21 30 00 1 5825.140
2011 03 14 21 15 00 1 5825.135
2011 03 14 21 00 00 1 5825.140
2011 03 14 20 45 00 1 5825.134
2011 03 14 20 30 00 1 5825.130
2011 03 14 20 15 00 1 5825.131
2011 03 14 20 00 00 1 5825.127
2011 03 14 19 45 00 1 5825.122
2011 03 14 19 30 00 1 5825.116
2011 03 14 19 15 00 1 5825.105
2011 03 14 19 00 00 1 5825.102
2011 03 14 18 45 00 1 5825.091
2011 03 14 18 30 00 1 5825.074
2011 03 14 18 15 00 1 5825.075
2011 03 14 18 00 00 1 5825.068
2011 03 14 17 45 00 1 5825.059
2011 03 14 17 30 00 1 5825.045
2011 03 14 17 15 00 1 5825.041
2011 03 14 17 00 00 1 5825.029
2011 03 14 16 45 00 1 5825.024
2011 03 14 16 30 00 1 5825.027
2011 03 14 16 15 00 1 5825.006
2011 03 14 16 00 00 1 5824.997
2011 03 14 15 45 00 1 5824.991
2011 03 14 15 30 00 1 5824.980
2011 03 14 15 15 00 1 5824.970
2011 03 14 15 00 00 1 5824.957
2011 03 14 14 45 00 1 5824.945
2011 03 14 14 30 00 1 5824.938
2011 03 14 14 15 00 1 5824.929
2011 03 14 14 00 00 1 5824.914
2011 03 14 13 45 00 1 5824.908
2011 03 14 13 30 00 1 5824.893
2011 03 14 13 15 00 1 5824.878
2011 03 14 13 00 00 1 5824.858
2011 03 14 12 45 00 1 5824.854
2011 03 14 12 30 00 1 5824.837
2011 03 14 12 15 00 1 5824.837
2011 03 14 12 00 00 1 5824.825
2011 03 14 11 45 00 1 5824.810
2011 03 14 11 30 00 1 5824.805
2011 03 14 11 15 00 1 5824.795
2011 03 14 11 00 00 1 5824.790
2011 03 14 10 45 00 1 5824.773
2011 03 14 10 30 00 1 5824.773
2011 03 14 10 15 00 1 5824.767
2011 03 14 10 00 00 1 5824.760
2011 03 14 09 45 00 1 5824.746
2011 03 14 09 30 00 1 5824.734
2011 03 14 09 15 00 1 5824.729
2011 03 14 09 00 00 1 5824.716
2011 03 14 08 45 00 1 5824.720
2011 03 14 08 30 00 1 5824.720
2011 03 14 08 15 00 1 5824.707
2011 03 14 08 00 00 1 5824.706
2011 03 14 07 45 00 1 5824.714
2011 03 14 07 30 00 1 5824.717
2011 03 14 07 15 00 1 5824.716
2011 03 14 07 00 00 1 5824.711
2011 03 14 06 45 00 1 5824.714
2011 03 14 06 30 00 1 5824.731
2011 03 14 06 15 00 1 5824.735
2011 03 14 06 00 00 1 5824.738
2011 03 14 05 45 00 1 5824.749
2011 03 14 05 30 00 1 5824.748
2011 03 14 05 15 00 1 5824.769
2011 03 14 05 00 00 1 5824.768
2011 03 14 04 45 00 1 5824.792
2011 03 14 04 30 00 1 5824.802
2011 03 14 04 15 00 1 5824.818
2011 03 14 04 00 00 1 5824.838
2011 03 14 03 45 00 1 5824.850
2011 03 14 03 30 00 1 5824.868
2011 03 14 03 15 00 1 5824.883
2011 03 14 03 00 00 1 5824.902
2011 03 14 02 45 00 1 5824.918
2011 03 14 02 30 00 1 5824.928
2011 03 14 02 15 00 1 5824.957
2011 03 14 02 00 00 1 5824.971
2011 03 14 01 45 00 1 5824.982
2011 03 14 01 30 00 1 5824.994
2011 03 14 01 15 00 1 5825.022
2011 03 14 01 00 00 1 5825.040
2011 03 14 00 45 00 1 5825.048
2011 03 14 00 30 00 1 5825.071
2011 03 14 00 15 00 1 5825.083
2011 03 14 00 00 00 1 5825.099
2011 03 13 23 45 00 1 5825.115
2011 03 13 23 30 00 1 5825.128
2011 03 13 23 15 00 1 5825.124
2011 03 13 23 00 00 1 5825.143
2011 03 13 22 45 00 1 5825.154
2011 03 13 22 30 00 1 5825.151
